vix_band,N,base,sig_ret,excess
<12,46,0.0008674195782791681,0.004034634242222395,0.0031672146639432274
12-16,214,0.0011983131790497977,0.0035009935880719184,0.0023026804090221205
16-20,107,0.001215251843996031,0.001680332241380306,0.0004650803973842751
20-25,67,0.0016313010340819343,0.0028384022795851812,0.001207101245503247
>25,24,0.0075698944710379185,0.026563307061782723,0.018993412590744805
