threshold,horizon,N_IS,base_is,sig_is,excess_is,hit_is,N_OOS,base_oos,sig_oos,excess_oos,hit_oos,t_stat,p_val,fwd_rv_sig,fwd_rv_base
1.25,1,0,,,,,0,,,,,-0.024900266911754877,0.9801369021422068,,
1.25,3,798,0.00045949073046883636,0.000913758846687488,0.00045426811621865164,0.5726817042606517,311,0.0004623210715397735,0.00043274303386983996,-2.9578037669933518e-05,0.5337620578778135,0.8830221875021462,0.3773244152410682,11.893172660237969,12.657439250356765
1.25,5,798,0.0017839788935949841,0.0029607374981907306,0.0011767586045957465,0.6040100250626567,311,0.0013364208656571378,0.0022850282003439165,0.0009486073346867787,0.5498392282958199,2.3990308930924242,0.01652476735306359,12.871462774848442,13.646531427284623
1.25,10,798,0.005161813118697569,0.00790445191221167,0.002742638793514102,0.6528822055137845,311,0.003419011663184545,0.006251502919769104,0.0028324912565845586,0.6237942122186495,4.229827424489463,2.4434414298455426e-05,13.590268522489954,14.466534243812095
1.25,20,798,0.011568283379807625,0.016096880428325026,0.004528597048517401,0.7255639097744361,311,0.008513854702958894,0.006963816389646954,-0.0015500383133119399,0.594855305466238,3.0502682951922755,0.002319644745095017,14.068457527368725,15.034992088187142
1.5,1,0,,,,,0,,,,,-0.008308169755743085,0.9933729153719483,,
1.5,3,365,0.00045949073046883636,0.0016512096498176314,0.001191718919348795,0.5698630136986301,108,0.0004623210715397735,0.0012218780289902724,0.000759556957450499,0.5462962962962963,1.7099844807554756,0.08762578273183858,10.940043818650903,12.657439250356765
1.5,5,365,0.0017839788935949841,0.004260720963838576,0.002476742070243592,0.5917808219178082,108,0.0013364208656571378,0.003955584327201179,0.0026191634615440416,0.5925925925925926,3.047628586296051,0.0023760044990504534,11.958130632141597,13.646531427284623
1.5,10,365,0.005161813118697569,0.009613303519894999,0.00445149040119743,0.6356164383561644,108,0.003419011663184545,0.007470816756382986,0.004051805093198441,0.6759259259259259,3.964245910072401,7.917840376266616e-05,12.598699238274598,14.466534243812095
1.5,20,365,0.011568283379807625,0.015671333100933157,0.004103049721125532,0.7123287671232876,108,0.008513854702958894,0.009253874602929911,0.0007400198999710176,0.6296296296296297,2.322239187989279,0.020411933490528604,13.946620665293946,15.034992088187142
1.75,1,0,,,,,0,,,,,-0.895869421968297,0.37140237351779243,,
1.75,3,128,0.00045949073046883636,-0.0008481276987482109,-0.0013076184292170473,0.484375,30,0.0004623210715397735,-0.0003176786038038541,-0.0007799996753436276,0.5,-1.048711812732086,0.29562528252778014,11.051195397879903,12.657439250356765
1.75,5,128,0.0017839788935949841,0.0004264797116799836,-0.0013574991819150005,0.546875,30,0.0013364208656571378,0.0017980845216981364,0.0004616636560409986,0.6333333333333333,-0.585027788577427,0.5592316217161204,12.208379238619882,13.646531427284623
1.75,10,128,0.005161813118697569,0.00503047379769585,-0.00013133932100171854,0.6328125,30,0.003419011663184545,0.006725543520614452,0.003306531857429907,0.7333333333333333,0.3984638438309318,0.6907073011737719,13.988842411135971,14.466534243812095
1.75,20,128,0.011568283379807625,0.008979764186419274,-0.0025885191933883514,0.640625,30,0.008513854702958894,0.017169743622330376,0.008655888919371482,0.6333333333333333,-0.0021749189171389794,0.9982666074288961,14.465315645896444,15.034992088187142
2.0,1,0,,,,,0,,,,,0.5382721299017519,0.5917993364895621,,
2.0,3,60,0.00045949073046883636,0.0012221709336233048,0.0007626802031544685,0.5666666666666667,16,0.0004623210715397735,-0.0020973823679299383,-0.002559703439469712,0.4375,0.03533568913664094,0.9718982509858635,12.351299954106317,12.657439250356765
2.0,5,60,0.0017839788935949841,0.0015524536032760032,-0.00023152529031898088,0.5333333333333333,16,0.0013364208656571378,0.0011369039404905967,-0.0001995169251665411,0.625,-0.0685979945405221,0.945478148028823,13.828799252641637,13.646531427284623
2.0,10,60,0.005161813118697569,0.0003864005353639381,-0.00477541258333363,0.48333333333333334,16,0.003419011663184545,0.007590629793404073,0.004171618130219528,0.8125,-0.783439055608523,0.4356397393912437,15.33008251713681,14.466534243812095
2.0,20,60,0.011568283379807625,0.0033250085971098984,-0.008243274782697726,0.5333333333333333,16,0.008513854702958894,0.014986594600601894,0.006472739897643,0.5,-1.1794043727396568,0.24152659621212585,15.206694495122543,15.034992088187142
