year,N,base,sig_ret,excess
2016,14,0.0010442075037050533,0.0008489143142324994,-0.0001952931894725539
2017,76,0.003370346702373332,0.004814805685270982,0.0014444589828976496
2018,65,-0.00018621768215653208,-0.0013797506353051786,-0.0011935329531486466
2019,86,0.0011613550704807475,0.0035245218708044573,0.00236316680032371
2020,46,0.0021065885356299054,0.014761006322740132,0.012654417787110225
2021,78,0.002991134742460401,0.0036528428061645903,0.0006617080637041891
2022,35,0.0002906598353208851,0.002131910478693179,0.001841250643372294
2023,26,0.0026691172656091245,0.0020261475511345263,-0.0006429697144745982
2024,47,0.0010466811342681333,0.00638098732455252,0.005334306190284386
