Events,Unique_Dates,Unique_Symbols,gap_1_N,gap_1_mean,gap_1_median,gap_1_std,gap_1_stderr,gap_1_tstat,gap_1_pval,gap_1_hit,day_1_N,day_1_mean,day_1_median,day_1_std,day_1_stderr,day_1_tstat,day_1_pval,day_1_hit,cc_1_N,cc_1_mean,cc_1_median,cc_1_std,cc_1_stderr,cc_1_tstat,cc_1_pval,cc_1_hit,cc_2_N,cc_2_mean,cc_2_median,cc_2_std,cc_2_stderr,cc_2_tstat,cc_2_pval,cc_2_hit,cc_3_N,cc_3_mean,cc_3_median,cc_3_std,cc_3_stderr,cc_3_tstat,cc_3_pval,cc_3_hit,cc_5_N,cc_5_mean,cc_5_median,cc_5_std,cc_5_stderr,cc_5_tstat,cc_5_pval,cc_5_hit,cc_10_N,cc_10_mean,cc_10_median,cc_10_std,cc_10_stderr,cc_10_tstat,cc_10_pval,cc_10_hit,day_1_net_mean,Group
24175,2206,1298,24090,-0.0357976557610877,-0.04347826086956519,0.3501181863539372,0.0022557775498325103,-15.869319988465017,1.9973648792866412e-56,0.1439186384391864,24090,0.005125832094969094,0.0,0.032116457167218164,0.0002069232215910382,24.771661950536206,8.559137600947963e-134,0.21378165213781652,24090,-0.030097825361980315,-0.040000000000000036,0.3532496039274921,0.0022759529698389287,-13.224273858396275,8.74682110132146e-40,0.22573682025736821,24007,-0.05378390637562722,-0.05147058823529416,0.7166913964007718,0.004625548561064825,-11.62757360896583,3.617979460816598e-31,0.26488107635273045,23924,-0.07738815161866747,-0.04729426373395229,1.1443413114761276,0.007398414848136539,-10.460098981629754,1.4955405310853263e-25,0.30045142952683496,23752,-0.09919058588641652,-0.036363636363636376,1.1173519339441675,0.007250031487047837,-13.681400703379051,1.9000676780298044e-42,0.3499494779386999,23432,-0.14665924839248565,-0.020766379513928124,1.2201524521377298,0.007970937754619673,-18.399246476048212,4.504180981309586e-75,0.40722089450324345,0.003762052094969094,Upper Circuit (First)
24175,2206,1298,24090,-0.0357976557610877,-0.04347826086956519,0.3501181863539372,0.0022557775498325103,-15.869319988465017,1.9973648792866412e-56,0.1439186384391864,24090,0.005125832094969094,0.0,0.032116457167218164,0.0002069232215910382,24.771661950536206,8.559137600947963e-134,0.21378165213781652,24090,-0.030097825361980315,-0.040000000000000036,0.3532496039274921,0.0022759529698389287,-13.224273858396275,8.74682110132146e-40,0.22573682025736821,24007,-0.05378390637562722,-0.05147058823529416,0.7166913964007718,0.004625548561064825,-11.62757360896583,3.617979460816598e-31,0.26488107635273045,23924,-0.07738815161866747,-0.04729426373395229,1.1443413114761276,0.007398414848136539,-10.460098981629754,1.4955405310853263e-25,0.30045142952683496,23752,-0.09919058588641652,-0.036363636363636376,1.1173519339441675,0.007250031487047837,-13.681400703379051,1.9000676780298044e-42,0.3499494779386999,23432,-0.14665924839248565,-0.020766379513928124,1.2201524521377298,0.007970937754619673,-18.399246476048212,4.504180981309586e-75,0.40722089450324345,0.003762052094969094,Upper Circuit (All)
55925,2216,1986,55857,-0.030702940855829048,-0.034912718204488824,0.3639053206034663,0.0015397478348103003,-19.940239668927155,3.69761095098244e-88,0.10986984621444044,55857,0.006655631083490662,0.0,0.05521907198878731,0.00023364166919564265,28.48649004436571,3.2134139742733456e-177,0.4144869935728736,55857,-0.023244431998106867,-0.03571428571428559,0.3858726715510464,0.001632695585620768,-14.236843783263547,6.512960591392804e-46,0.30880641638469664,55780,-0.029341425592340584,-0.01907588303790919,0.3810438129492495,0.0016133762493477865,-18.186350272728987,1.0820856793387337e-73,0.3738795267120832,55688,-0.031230940837717002,-0.01493118201228627,0.43070595553447316,0.0018251563199079628,-17.11137862388241,1.7961129242458724e-65,0.4139671024278121,55469,-0.033305418101463105,-0.004060638873849554,0.6219294597887569,0.002640681123074331,-12.612434651969,2.023651956770493e-36,0.45829201896554833,55045,-0.03392647408966874,0.0041706769329483695,0.6251017538014613,0.0026643530943386397,-12.733475214586809,4.347009537939299e-37,0.5082205468253247,0.005291851083490662,Upper Circuit (Placebo)
15877,2068,1089,15836,-0.022055917667358108,-0.032258064516129115,0.08139120141650068,0.0006467772159826423,-34.10125947904452,5.087565037866462e-246,0.19114675423086638,15836,0.006695374987820942,0.0,0.04153286383504775,0.0003300419403512139,20.286436871314184,2.377399721162518e-90,0.21962616822429906,15836,-0.01612838920968268,-0.026029505781632212,0.08269813442229351,0.0006571627917727934,-24.54245646831888,1.415426186855005e-130,0.27052285930790604,15789,-0.02770880125767438,-0.024896265560165998,0.10516935392067313,0.0008369738582235777,-33.10593393739262,1.993108493259114e-232,0.28146177718664894,15762,-0.03533142925839952,-0.033333333333333326,0.1234632353456426,0.0009834040484578966,-35.92768335030115,9.060857370182997e-272,0.3253394239309732,15702,-0.04393570902626301,-0.034883720930232454,0.15392128171882116,0.0012283473256107307,-35.768148071978175,1.9693020452783956e-269,0.3387466564768819,15574,-0.044385786390187545,-0.034270462550597236,0.6257242255555064,0.005013983313312566,-8.852400101200853,9.473673205774728e-19,0.3688198279183254,0.005331594987820942,Lower Circuit (First)
15877,2068,1089,15836,-0.022055917667358108,-0.032258064516129115,0.08139120141650068,0.0006467772159826423,-34.10125947904452,5.087565037866462e-246,0.19114675423086638,15836,0.006695374987820942,0.0,0.04153286383504775,0.0003300419403512139,20.286436871314184,2.377399721162518e-90,0.21962616822429906,15836,-0.01612838920968268,-0.026029505781632212,0.08269813442229351,0.0006571627917727934,-24.54245646831888,1.415426186855005e-130,0.27052285930790604,15789,-0.02770880125767438,-0.024896265560165998,0.10516935392067313,0.0008369738582235777,-33.10593393739262,1.993108493259114e-232,0.28146177718664894,15762,-0.03533142925839952,-0.033333333333333326,0.1234632353456426,0.0009834040484578966,-35.92768335030115,9.060857370182997e-272,0.3253394239309732,15702,-0.04393570902626301,-0.034883720930232454,0.15392128171882116,0.0012283473256107307,-35.768148071978175,1.9693020452783956e-269,0.3387466564768819,15574,-0.044385786390187545,-0.034270462550597236,0.6257242255555064,0.005013983313312566,-8.852400101200853,9.473673205774728e-19,0.3688198279183254,0.005331594987820942,Lower Circuit (All)
32250,2201,1661,32190,-0.003599271987844916,-0.006592898236201794,0.15649132217433467,0.0008722274926174051,-4.126528936899383,3.692053844057895e-05,0.2771357564461013,32190,-0.001989130542196233,0.0,0.059152225724572946,0.0003296936648602534,-6.033268922650856,1.6242715789822916e-09,0.3258465361913638,32190,-0.0071383020943368075,-0.022064419375055933,0.15445272066942087,0.0008608650460972322,-8.292010608048962,1.156309314781219e-16,0.3069586828207518,32137,-0.010588253964894493,-0.011494252873563204,0.17712721829221204,0.0009880584482462827,-10.71622228795039,9.479544157603448e-27,0.3311136696020164,32080,-0.011400055976890464,-0.016528925619834656,0.19282274204918867,0.0010765670283076436,-10.589267251488538,3.6916080259046287e-26,0.3636845386533666,32004,-0.011770134144272464,-0.018404907975460127,0.2223411150690049,0.0012428469432118274,-9.470300593776651,2.9751475395117013e-21,0.3757655293088364,31807,-0.0011661500583255834,-0.02083333333333326,0.5141973574235673,0.0028831582862274495,-0.40446966227839876,0.6858701023408118,0.3969880843839406,-0.0033529105421962334,Lower Circuit (Placebo)
15994,1230,988,15968,-0.0306272693718034,-0.03846153846153855,0.3349108050450656,0.0026503540729343523,-11.555916126291107,9.134072412683489e-31,0.18192635270541083,15968,0.0037510390703824883,0.0,0.033859451864309824,0.0002679505552047592,13.99899719377728,2.8877967660796405e-44,0.21524298597194388,15968,-0.02620800932665484,-0.034482758620689724,0.33432870032299716,0.0026457475221818294,-9.90571061937243,4.5824959132916304e-23,0.2530686372745491,15944,-0.044114182792250003,-0.03571428571428581,0.3695254019491694,0.0029264806387720777,-15.074141344997889,5.381408261638543e-51,0.2846838936276969,15915,-0.05781021814260436,-0.03703703703703698,0.4085461167646303,0.0032384542447416,-17.851176448292577,1.3797411122163536e-70,0.3180647188187245,15858,-0.07671073726725305,-0.025277487041996283,0.49551906366103016,0.003934922295648291,-19.49485440972723,1.1555819812632353e-83,0.36498927985874635,15753,-0.11699870535406251,-0.01492537313432818,0.8587694156212905,0.006842186889993672,-17.09960678290837,5.760586461024521e-65,0.41814257601726657,0.002387259070382488,Upper (First) IS
8181,976,768,8122,-0.04596272961778453,-0.04761904761904767,0.37805312054516504,0.004194897317081088,-10.956818759455718,9.632954301707808e-28,0.06919477961093327,8122,0.007828700232939903,0.0,0.028186412584802537,0.00031275791708748255,25.03118164311764,2.8603611115560215e-133,0.21090864319133218,8122,-0.037745274568096676,-0.04633204633204646,0.3876739230897929,0.004301650248321091,-8.774603324114608,2.065745876630321e-18,0.17200196995813838,8063,-0.07290508618628903,-0.07692307692307687,1.1220020217642668,0.012495260353287099,-5.834619217606782,5.59971173047839e-09,0.22572243581793378,8009,-0.11629223593275714,-0.07602339181286522,1.8915775474741972,0.021136593912243165,-5.501938316816315,3.8723213781541525e-08,0.2654513672118866,7894,-0.14434962305422677,-0.06299212598425197,1.8056779207212001,0.02032318294607278,-7.102707456664442,1.3298019448646022e-12,0.31973650874081583,7679,-0.2075060428298186,-0.0410256410256411,1.73918964895352,0.019846988049334574,-10.455291367839354,2.0517297717401223e-25,0.38481573121500195,0.006464920232939903,Upper (First) OOS
12852,1232,846,12830,-0.019952459530372103,-0.02941176470588236,0.08481636668741534,0.0007488008630511621,-26.64588212288004,2.6751181451769986e-152,0.20265003897116135,12830,0.006227793522967037,0.0,0.043479054929235775,0.0003838546158861968,16.224354912573002,1.2985204120744588e-58,0.21597817614964926,12830,-0.014546216928415994,-0.022058274243483444,0.0858910895384154,0.0007582890482894606,-19.182944763911834,6.942958049150229e-81,0.2760717069368667,12802,-0.02576171286077209,-0.022222222222222143,0.10728833061113875,0.0009482297489109135,-27.168218346197875,4.477678211770376e-158,0.284877362912045,12786,-0.03335351267950073,-0.030303030303030165,0.12509233550377846,0.0011062756438762627,-30.14936906920761,5.683048692678765e-193,0.328953542937588,12747,-0.04286707235293025,-0.032258064516129004,0.15216179961280288,0.0013477261128178677,-31.80696132933303,1.0336600754067815e-213,0.3397662195026281,12665,-0.044091227395496015,-0.03169014084507038,0.683650254564147,0.006074791586550562,-7.258064209661595,4.1557297874304893e-13,0.3732333201737071,0.004864013522967038,Lower (First) IS
3025,836,553,3006,-0.031033751299271092,-0.044117647058823484,0.06400622504198267,0.0011674216040652864,-26.583156583022745,5.0925111364672765e-140,0.14204923486360613,3006,0.008691073655178093,0.0,0.031848006134946386,0.0005808817874191647,14.961862883999508,7.178283037811508e-49,0.2351962741184298,3006,-0.022881306830657918,-0.03797468354430389,0.06698389097039058,0.0012217318142398815,-18.728583936314912,4.099023450013469e-74,0.24683965402528277,2987,-0.03605383830392251,-0.036231884057971064,0.09512308146325835,0.001740477042982625,-20.714917470061927,3.548566707781537e-89,0.26682289922999664,2976,-0.04382929262459572,-0.04634654502398439,0.11584083530179536,0.0021234655373340034,-20.640453943803156,1.4350042993819032e-88,0.30981182795698925,2955,-0.04854549301102535,-0.04884318766066831,0.16123689530922644,0.002966099286546375,-16.36677950438742,1.0608418353755322e-57,0.33434856175972927,2909,-0.04566821666442892,-0.04347826086956508,0.24770788697274312,0.004592698903003303,-9.943655708534497,6.216838141274423e-23,0.34960467514609833,0.007327293655178093,Lower (First) OOS
927,622,234,926,-0.03781258792115825,-0.04928100152258508,0.04612905049085011,0.0015158946560344274,-24.944073633768053,1.951174154642625e-105,0.08531317494600432,926,0.008490703023409332,0.0,0.03151337950200353,0.0010355939060602947,8.198873104333414,8.05624203993915e-16,0.23974082073434125,926,-0.02876496847299767,-0.04900499145501869,0.05277766357136559,0.0017343816383492518,-16.585143567580413,2.7866772780875784e-54,0.19114470842332612,925,-0.050189613747795875,-0.09259259259259256,0.08757226097075774,0.002879358203926607,-17.43083360706974,4.7726534579185495e-59,0.252972972972973,924,-0.06761574408664787,-0.08494240150862953,0.1293299512095618,0.004254643030369771,-15.892224942023255,1.8775459458276645e-50,0.27056277056277056,920,-0.09139937489790513,-0.06910755148741421,0.20023732047440138,0.0066016289582957344,-13.844973032459043,9.867343029242413e-40,0.32282608695652176,915,-0.12034369581198492,-0.05049322855709737,0.31816612285370915,0.010518247570164925,-11.441420731847058,2.0102827531527533e-28,0.38907103825136613,0.007126923023409333,Upper (First) Top 25%
1086,732,234,1084,-0.04396994488758263,-0.04948212915295763,0.039155027664785486,0.0011892492714870922,-36.97285837526776,3.384747207426018e-194,0.07195571955719557,1084,0.010057302309716713,0.0,0.032278355946147926,0.000980385242538885,10.258520705260215,1.2534688081693656e-23,0.20571955719557194,1084,-0.0344887286792138,-0.04926039120409559,0.04805262658547683,0.001459494592854419,-23.63059709029972,6.758470387387037e-100,0.17988929889298894,1081,-0.057239690742801656,-0.09322033898305082,0.07669735646634433,0.0023327465100664276,-24.537467099745736,4.990304966593707e-106,0.1822386679000925,1080,-0.07566087017397856,-0.10811320621668119,0.10405720893864462,0.0031663600337068815,-23.895220179810636,1.2592243210396922e-101,0.22037037037037038,1078,-0.10067087847436665,-0.12802508560655612,0.14198591589326745,0.004324499854407439,-23.279195713641894,2.0078298479058806e-97,0.24211502782931354,1075,-0.1358679693766872,-0.14427860696517425,0.22950855480855964,0.006999945297481517,-19.409861592142814,3.574536161384865e-72,0.25395348837209303,0.008693522309716713,Lower (First) Top 25%
6022,1675,840,6004,-0.045103666344660995,-0.04857142857142871,0.19459667523392382,0.0025113952824090697,-17.959604631173413,2.7179832032197723e-70,0.0511325782811459,6004,0.009475798579598347,0.0,0.029615387444240908,0.0003822056272275794,24.792409908596415,2.854537817899953e-129,0.22884743504330446,6004,-0.035143125780575254,-0.04705882352941182,0.19693516796219124,0.002541575035473499,-13.827302082398697,7.868415049178368e-43,0.16938707528314456,5992,-0.059283397392432435,-0.08163265306122436,0.2938685389741679,0.0037963582744518914,-15.615859491288827,6.487837150873274e-54,0.21662216288384512,5981,-0.07816143102353469,-0.08472222222222214,0.3905588771785229,0.005050095748552197,-15.477217644030342,5.216751531820277e-53,0.26299949841163683,5950,-0.10604372595727413,-0.06599370731285592,0.5669600544733426,0.007350112368299172,-14.427497246795534,2.0948010997816276e-46,0.3166386554621849,5903,-0.16353916466477902,-0.04518072289156616,1.0060541519961328,0.013094380786830782,-12.489262938592168,2.383222655232064e-35,0.395730984245299,0.008112018579598347,Upper (First) Middle 50%
4386,1511,648,4375,-0.041540840533165944,-0.04784688995215314,0.057568957882273904,0.0008703608331065621,-47.72829722230838,0.0,0.04982857142857143,4375,0.010166406033248792,0.0,0.032699257940062856,0.0004943663118043458,20.564520256534646,8.888577533349789e-90,0.19725714285714285,4375,-0.0319433248548773,-0.04661016949152552,0.062397128342803775,0.0009433559092550777,-33.86137145216103,2.0025023548475867e-223,0.15977142857142856,4362,-0.05278013052753739,-0.07692307692307698,0.08864038012557812,0.0013421120609803862,-39.326172576813406,8.646126526884884e-290,0.15405777166437415,4353,-0.06727670151379939,-0.08387096774193548,0.11028752432401721,0.0016715988143870552,-40.24691865940843,2.214720089514988e-301,0.20974040891339307,4332,-0.08462648776332873,-0.09987599889776794,0.15392084346835527,0.0023385852739565573,-36.18704381053107,8.984220463219512e-251,0.22668513388734995,4308,-0.1036810798240955,-0.11503011111425265,0.2326987391040536,0.003545326057946335,-29.244441309342868,1.184999442771001e-171,0.24721448467966572,0.008802626033248795,Lower (First) Middle 50%
17226,2178,859,17160,-0.03243290548579635,-0.03846153846153855,0.3983537893586422,0.003040957223165582,-10.665360643262936,1.7893153547246618e-26,0.17954545454545454,17160,0.0034222732806654978,0.0,0.03282584434009563,0.00025058626557372107,13.65706645106886,3.046819889918655e-42,0.2071095571095571,17160,-0.028404482807548724,-0.034482758620689724,0.40181093278718755,0.0030673483999571487,-9.260272751522304,2.274529544534807e-20,0.24731934731934732,17090,-0.052050247540521725,-0.03740816632515365,0.8311723877180903,0.006357993444325965,-8.186584021563073,2.8750675363015453e-16,0.2824458747805734,17019,-0.07764696356056038,-0.037974683544303556,1.3365390786751077,0.010245063212108047,-7.5789638338974745,3.661966569849667e-14,0.31523591280333746,16882,-0.09719981054509604,-0.02537786345871329,1.2810452528582592,0.009859446244262146,-9.858546630006014,7.257486920008957e-23,0.3631678711053193,16614,-0.14211107124404523,-0.015625,1.3169883083261444,0.010217504000593902,-13.908589733440273,9.879859904372023e-44,0.4123028770916095,0.002058493280665498,Upper (First) Bottom 25%
