Signal,N,ret_1_mean,ret_5_mean
High Basis (Top 20%),226,0.012502926558269784,-0.0057266743941144435
Low Basis (Bottom 20%),228,-0.011618313640880463,-0.012007468052669843
High OI Increase (Top 20%),226,0.002417014828879546,-0.014186701897068334
High OI Decrease (Bottom 20%),227,0.01308186467491827,-0.01016851614204396
