Regime,Trades,Net PnL,Win Rate,Profit Factor,Expectancy
Bull,734,14063.449999999984,0.5177111716621253,1.1458147891051438,19.160013623978184
Neutral,151,-3752.149999999995,0.44370860927152317,0.8807495443270104,-24.84867549668871
Bear,277,18293.64999999999,0.5812274368231047,1.5376524060949206,66.04205776173282
