,Starting Capital,Ending Capital,Peak Equity,Minimum Equity,Total Return,CAGR,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Average Drawdown,Calmar Ratio,Max Drawdown Duration,Total Trades,Winning Trades,Losing Trades,Win Rate,Average Trade Return,Average Winning Trade,Average Losing Trade,Profit Factor,Payoff Ratio,Expectancy,Expectancy (R),Average Holding Period,Max Holding Period,Filled Orders,Rejected Orders,Cancelled Orders,Total Turnover,Total Transaction Costs
IS,50000.0,68483.1999999999,73869.74999999993,41866.89999999996,0.369663999999998,0.05383884507399683,0.1301657436833494,0.4769375791797754,0.6403978644671919,-0.2119824428659094,-0.09850255476765199,0.2539778499866278,1086,786,412,374,0.5241730279898219,23.48657760814247,299.09781553398057,-280.1279411764706,1.176203386821434,1.0677186084252825,23.48657760814247,0.04697315521628494,7.311704834605598,11,1573,0,0,14885712.65,0.0
OOS,50000.0,60273.15000000002,62320.90000000002,45762.65000000001,0.2054630000000004,0.0643141184474807,0.08843243547203392,0.7637996373150484,1.1331738041499841,-0.08736352876303621,-0.03229250372855584,0.7361666745619392,219,356,184,172,0.5168539325842697,28.833286516853978,266.83804347826083,-225.77645348837203,1.2643242763023215,1.1818683452391263,28.833286516853978,0.05766657303370795,7.328651685393258,11,714,1,0,6653186.75,0.0
COMB,50000.0,78622.34999999985,81133.34999999986,41866.89999999996,0.5724469999999968,0.051582719534097654,0.11901725658164944,0.4913121837482724,0.6686028743911498,-0.2119824428659094,-0.09847537595906136,0.24333486696691467,1086,1162,608,554,0.5232358003442341,24.61699655765919,313.3911184210526,-292.30478339350185,1.1766426233436058,1.0721381798229566,24.61699655765919,0.04923399311531838,7.319277108433735,11,2326,1,0,24185960.95,0.0
