Regime,Q1_5d,Q5_5d,Spread (Q5-Q1)
Bear,0.002611478018449533,0.002138903796613995,-0.00047257422183553813
Bull,-0.0004399149725050461,-0.0003023827779648544,0.00013753219454019168
Neutral,-0.0033649169491385814,-0.002026772656576295,0.0013381442925622863
Unknown,0.008280508678415148,0.0053160914551810805,-0.002964417223234067
