Liquidity,Q1_5d,Q5_5d,Spread (Q5-Q1)
Low,0.0004537683867992257,0.0004179938954011356,-3.5774491398090106e-05
Med,0.0005581783042595002,0.0009309390921256611,0.00037276078786616096
High,-0.0004868890677944721,-0.0005056164361480445,-1.872736835357243e-05
