Signal,Group,N,1d_mean,1d_median,1d_hit,1d_tstat,3d_mean,3d_median,3d_hit,3d_tstat,5d_mean,5d_median,5d_hit,5d_tstat,10d_mean,10d_median,10d_hit,10d_tstat,20d_mean,20d_median,20d_hit,20d_tstat
sig_A_abs_pct,Q1,25800,-0.0014206314848847872,-0.0020212233559048776,0.4461419154711128,-9.927214723709097,-0.0005582128546424512,-0.0008100896252500878,0.486767559177338,-2.0258133483135796,0.00019716991923789164,7.392855528465248e-05,0.500504854368932,0.549717130559668,0.0022214770219623117,0.002893625796834831,0.5205074324850183,4.449366909156828,0.00640787337020588,0.0068831431168567825,0.5343958748388609,8.91649899269168
sig_A_abs_pct,Q2,24624,-0.00109729967153903,-0.0015259111502760048,0.4535630129194767,-9.495968274233624,-0.00019122931254308357,-0.00036482060330422783,0.49341302756769945,-0.878345166798208,0.0004480131434790532,0.0005187960518800994,0.506307479449825,1.4958121137099865,0.0022477005746909533,0.002418290535743939,0.5202658620127222,5.234252451324806,0.0070001856392432745,0.007149272882805868,0.5380773010153947,11.574372378523291
sig_A_abs_pct,Q3,24596,-0.0006408346648491442,-0.0011659543152544583,0.4622549418368177,-5.967525428229499,0.0001030000203389732,-0.00020169689001137137,0.4959293332247822,0.5106569019770079,0.0013234344038351611,0.0008902417783150929,0.5113256742442761,5.106464775918091,0.003629594054638231,0.0035457809694794395,0.5333714332367229,9.699576944618139,0.007685222567713455,0.0073715792339175135,0.5425104533901779,14.06343546404727
sig_A_abs_pct,Q4,24625,-0.0005545364341340195,-0.0008230452674896638,0.4689823278488726,-5.6563380664684875,0.0002643567312055599,0.0002663613843444379,0.5036594291290558,1.340975374379401,0.000984861485480903,0.0011107103621578185,0.516643607064377,3.7785007583536543,0.002976223554187518,0.0034839246292365234,0.532784211384766,7.987428435452284,0.007417255926435523,0.0081826096132539,0.5560923681624631,14.190707253087808
sig_A_abs_pct,Q5,25399,-0.0006588248802782572,-0.0010924981791697874,0.464432015125256,-5.947855739622106,-0.0001284926065766923,-0.0005555555555555314,0.48551267394646586,-0.7703456522936618,0.00048187576594571694,0.0,0.4990727954231604,2.3561832927441655,0.0018957286964043079,0.001607717041800738,0.5178522003874896,6.890420108014805,0.004082088224758592,0.002941176470588225,0.5265853949092641,10.545157033536713
sig_C_abn_pct_20,Q1,25800,-0.0011436669020303963,-0.0016049382716049054,0.45216952964442203,-9.6150267409738,-0.0004295841114764394,-0.0008092149641812374,0.4834678671220118,-2.2018611789658014,0.00019475859102155912,-9.068445648074963e-05,0.49739785614416654,0.7767391049461349,0.0016293005457243854,0.0017580761779656395,0.5160336239103362,4.619040190126245,0.005344576831398266,0.0047518479408659164,0.5330363771343727,10.522066380186047
sig_C_abn_pct_20,Q2,24623,-0.001035204995297824,-0.001444390948483254,0.45317515134278635,-8.817198547715453,-5.8247672519031187e-05,-0.00038109255292584354,0.49347375269385596,-0.261481740448623,0.000811448359200586,0.0005858129459369588,0.5077730750447664,2.7767304836849185,0.0028152548607083615,0.003059375050256441,0.5263029116711524,6.460120899644339,0.007137853134911574,0.007826649417852494,0.5425658244953114,11.327769932833684
sig_C_abn_pct_20,Q3,24605,-0.000880233357825005,-0.0012605042016806678,0.45879243748729415,-7.4868265475091595,-9.311930872378643e-05,-0.00011809396343009926,0.49668362156663276,-0.37931384672766383,0.0007493952782455547,0.0006542361792607476,0.507350845041743,2.407395801956547,0.0028430523650895896,0.003301268262867807,0.5279546196539341,6.519919169607151,0.007337914001998391,0.008005822416302877,0.5452198500184403,11.708198668947215
sig_C_abn_pct_20,Q4,24711,-0.0005438651691708157,-0.0010194624652455353,0.46702562649285456,-4.863203557079266,0.00035004054441813213,8.145090360545115e-05,0.5006482982171799,1.6854523509249333,0.0014008593802030593,0.0011949524502399278,0.5167477696674777,4.750020509085696,0.003824317923134645,0.0037974683544304,0.5361482504978258,9.223728848137387,0.007801519638745847,0.006630500301386233,0.5415221383391144,13.32400940352359
sig_C_abn_pct_20,Q5,25305,-0.0007796743349283707,-0.001129943502824804,0.463925677011267,-6.6981843652389115,-0.0002834582872602094,-0.0003636363636364548,0.49095944609297726,-1.3762188331745033,0.00028061305376743395,0.00034962056039022915,0.5045141363744358,1.0772575238335673,0.0018799737773570098,0.0018810679611649395,0.5184685578258282,5.405942563188905,0.004983613652021824,0.004464285714285587,0.5350968050354553,10.323976296847631
sig_C_abn_pct_60,Q1,25800,-0.0011565675508416525,-0.0016301292861158334,0.45135522897359337,-9.672018814874178,-0.0005392404047540829,-0.0008746909223820154,0.4825364793542378,-2.707354363202869,2.749844930721184e-05,-0.000245429334181424,0.49580549945626845,0.10854914900817386,0.001180674506467293,0.0014116652889347714,0.513153798256538,3.254156148105367,0.00464841537023931,0.004413674560733383,0.530085176213175,9.038059078755694
sig_C_abn_pct_60,Q2,24623,-0.001095629932484997,-0.0014272121788773129,0.45431276154877503,-9.190968348964963,-0.00012469011484754649,-0.0003875968992248513,0.49150130123617436,-0.5490886693961787,0.0007116138625595737,0.0005479452054792944,0.5068576777501933,2.348962338370098,0.002584911383064714,0.0029090884573893527,0.5256933115823818,5.903421564050954,0.006509224576360364,0.007299464533512601,0.5409124416414121,10.338212273888345
sig_C_abn_pct_60,Q3,24608,-0.000881363740452207,-0.0013439357291743503,0.4562566062281486,-7.5782959714691085,-0.0001665257947760879,-0.0001373173278536588,0.4970705508991781,-0.7074933433162962,0.0006850890034997366,0.0006295636927428072,0.5076146265982572,2.214609609014935,0.0032792301761700817,0.0034383954154728613,0.5298102428075903,7.691724372887854,0.007876493786124832,0.00839260312944523,0.5458792672431457,12.675916268602425
sig_C_abn_pct_60,Q4,24704,-0.00048228490927414375,-0.0009713397568893445,0.46918279744067387,-4.302948978793183,0.0006270574243107954,0.00023117925174165332,0.5031612223393045,2.9456271069090736,0.0017481670110189407,0.0013283100547252236,0.5182120548389714,6.121925321154369,0.004209108050689766,0.004160887656033507,0.5386334999796772,10.24060905512633,0.008619885707246488,0.007271815446338925,0.5466677549687793,14.723844896501713
sig_C_abn_pct_60,Q5,25309,-0.0007666687471033238,-0.0010897862808015857,0.464010435195067,-6.669711955397896,-0.00030592352665606126,-0.00034883720930223294,0.49100043514379527,-1.5033321587051502,0.00027199022842461234,0.0003937007874015297,0.5053448412384195,1.05277733424537,0.0017621266082958617,0.001892157576214526,0.5177707259024197,5.036940514078322,0.00498319727710578,0.004332300418624424,0.5340528915086825,10.321423237121966
sig_D_abn_vol_20,Q1,25800,-0.0008103658280035194,-0.0012658227848100223,0.46178603280468417,-6.922320533270189,-0.00028688099085332684,-0.0008758761335354026,0.4790437752250854,-1.7011761236953626,0.00037308405196448917,-0.00030478512648590694,0.4927564376432206,1.816479419732379,0.0016068433271469243,0.001128793482247925,0.5115201992683117,5.543222297913125,0.003954722456917299,0.0024126455906823274,0.5212005158466528,9.44525706933521
sig_D_abn_vol_20,Q2,24623,-0.000722182822418247,-0.0011408349048916966,0.4626010644781213,-6.451179101917439,0.00042995084799708744,0.00028688524590148035,0.5047371203187899,1.888407310342805,0.0012416598087333797,0.001322168356103992,0.5182110446424938,4.2734172499891825,0.003589308612614083,0.00402673934533504,0.5331946823260746,8.678173511890233,0.007759929769921472,0.00941048374552822,0.5523481963722721,12.693048243857458
sig_D_abn_vol_20,Q3,24597,-0.000801783354521224,-0.001149689583812341,0.46081262455769306,-7.255005255382391,4.0799340674826436e-05,0.0,0.49932836732201735,0.19636259231813652,0.0007661909790526545,0.0008201892744479355,0.5093494113333605,2.7103083990104975,0.002837043059326824,0.0034519744330618884,0.5291860560045718,6.724726070191792,0.006935707323673991,0.00762128096145398,0.54035332212977,11.303320475797781
sig_D_abn_vol_20,Q4,24623,-0.0010897535116261446,-0.0013531799729364913,0.4556535164344046,-9.580031531419055,-0.0002695154252116967,-0.000366449511400635,0.49331110478591467,-1.1243165254514484,0.0005924938255791735,0.0007891770011274613,0.5100720302771334,1.8941951237072665,0.002720225134885183,0.0033055475711412097,0.5280756840517066,6.23990089417562,0.006803200584896101,0.008366935483870908,0.5454284895385497,11.03628900228772
sig_D_abn_vol_20,Q5,25401,-0.0009676492025246733,-0.0014836795252225476,0.45409790870780986,-7.583500307124771,-0.00042851317948544804,-0.0005494263612458306,0.4891210090658258,-1.864183196380831,0.0004537696324183258,0.0003030149992424569,0.503688508422423,1.4647059401090126,0.00223523942632817,0.0023657440264963636,0.5230659762027118,5.342438229419547,0.007159261396613852,0.005951995884393324,0.5385836773578914,12.632167991719056
sig_E_abn_trd_20,Q1,25800,-0.0009789776118645387,-0.0013432681619461317,0.4573865839472664,-9.316429030274476,4.5452387574552846e-05,-0.00027084980860564434,0.4937524253007373,0.2214221476172454,0.0007380138742292664,0.0005388610861746246,0.507495145631068,2.841714139373673,0.003100184472954319,0.0030378348522506204,0.5282739832652267,8.40244928586209,0.00611043181307289,0.007052778637067991,0.5448898265353962,11.017129051312013
sig_E_abn_trd_20,Q2,24623,-0.0009013056325278194,-0.0012180267965895553,0.45910697598829886,-8.488980402012707,-4.2270387642998186e-05,-0.00034102534955104957,0.49205058349936975,-0.21545067512151403,0.0008024935299516471,0.00033936651583710287,0.5035608187848452,3.094464885409518,0.002588216814412739,0.0026117856326903777,0.5244658293916163,6.78194604950501,0.006280169058036624,0.0050661412890515845,0.5337182164353274,11.224554385610226
sig_E_abn_trd_20,Q3,24597,-0.000904754842153667,-0.0012870514820593204,0.45670476267946475,-8.205427322783938,-0.00019699534932908526,-0.0003303055326177029,0.4916758252940937,-0.9376305792095705,0.0005021266632693586,0.0003255208333332593,0.5043386157167882,1.7970309224919658,0.0025128988546705765,0.0021587460501202305,0.5194105400661305,6.2100417602829125,0.006394316004423089,0.00560708263069154,0.5369163284548846,11.084385859626563
sig_E_abn_trd_20,Q4,24623,-0.0009667954176581988,-0.001303592120509789,0.459147604924227,-8.243273661953662,-0.00033586289978836516,-0.0006066120715801926,0.487903061846867,-1.5571749220747346,0.0005006520388262924,0.00047360497975368343,0.5063893862933421,1.7735133145886621,0.001738102643158086,0.002149613069647449,0.5202071693650341,4.296123676045244,0.005914002463319672,0.005123568414707513,0.5361458120008191,10.40928693018288
sig_E_abn_trd_20,Q5,25401,-0.0006422264869983286,-0.0012336313809226396,0.4625443087829854,-4.599329554505819,-1.372257663055172e-05,0.0,0.49913276568905707,-0.0557279128543937,0.0008535721325068724,0.0009537572254336713,0.5113425651950921,2.6360473958412975,0.002954773471924474,0.0035112359550562022,0.5316045380875203,6.900263978441944,0.007790180904681214,0.0074679113185529555,0.5449061396197961,13.423764271867409
