Regime,Count,Mean 5d,Med 5d,Hit
Bear,1095,0.003937837311192122,0.002660753880266098,0.5287671232876713
Bull,3190,-0.003800032110765988,-0.0019472868382936492,0.4636363636363636
Neutral,598,-0.004968795755922052,-0.0037513191967145643,0.46488294314381273
Unknown,18,0.018312013309924238,0.02222569514351236,0.6111111111111112
