Signal,Horizon,Count,Sig Mean,Base Mean,Diff Mean,Sig Med,Base Med,Diff Med,Hit Rate,Std Dev,p25,p75,T-Stat,P-Val
sig_A,1d,4901,-0.002413167365186439,-0.0008811714880953728,-0.0015319958770910664,-0.0026633886498668158,-0.0012661877407186273,-0.0013972009091481885,0.4052234237910631,0.01813657446107292,-0.011272727272727323,0.005792735909169844,-5.780919398570911,7.8486067874827e-09
sig_A,3d,4901,-0.00241275081198284,1.3937841785955344e-05,-0.0024266886537687954,-0.002491966686340219,0.0,-0.002491966686340219,0.4478677820852887,0.03468505051176981,-0.018211920529801362,0.013152220784820923,-4.781175094069316,1.7890381734669953e-06
sig_A,5d,4901,-0.002132604407274205,0.0009347124171481092,-0.0030673168244223143,-0.0013277693474962327,0.0010604358571963957,-0.0023882052046926283,0.47888186084472556,0.04983618474662637,-0.02242210572349501,0.01954467503072288,-4.2213665596112335,2.4687402652678767e-05
sig_A,10d,4900,-0.0016548648944093634,0.003162739938769034,-0.0048176048331783974,9.59723733610085e-05,0.0037174721189590088,-0.0036214997455980003,0.5012244897959184,0.06898430746797032,-0.03200017053812698,0.030269107618605406,-4.78402306141905,1.764443738182156e-06
sig_A,20d,4887,0.003068685966920322,0.007724980634779326,-0.004656294667859004,0.004093676022996151,0.008803301237964245,-0.004709625214968094,0.5260896255371393,0.09690729496354455,-0.04023865386894182,0.05046011966567154,-3.284560247614526,0.0010279955844800337
sig_B,1d,3660,-0.002841802011739878,-0.0008811714880953728,-0.0019606305236445055,-0.002908354945267533,-0.0012661877407186273,-0.0016421672045489055,0.39918032786885244,0.019214037317301726,-0.012039981965444452,0.005799029867137595,-6.080169659179499,1.316241502326379e-09
sig_B,3d,3660,-0.0025142984483252266,1.3937841785955344e-05,-0.002528236290111182,-0.002610816620917167,0.0,-0.002610816620917167,0.4486338797814208,0.03648168405429826,-0.01887033115132844,0.013891913755811891,-4.1243366602825375,3.79539226994609e-05
sig_B,5d,3660,-0.001588409356906822,0.0009347124171481092,-0.0025231217740549314,-0.0009829824365676365,0.0010604358571963957,-0.002043418293764032,0.48442622950819675,0.04943649947152564,-0.023058980935958595,0.01993795854822844,-3.03977334780604,0.0023832955947397077
sig_B,10d,3659,-0.0008641211180684794,0.003162739938769034,-0.0040268610568375135,9.390553103560961e-05,0.0037174721189590088,-0.003623566587923399,0.5009565455042362,0.06904129186181113,-0.03225585869591291,0.03128538561920746,-3.4713924221350143,0.0005233821063891536
sig_B,20d,3652,0.005113286082509372,0.007724980634779326,-0.002611694552269954,0.004726760524951579,0.008803301237964245,-0.004076540713012666,0.5306681270536692,0.09574591089831667,-0.04024759426517788,0.05207517001755324,-1.620248907130766,0.10525942937824279
sig_C,1d,4130,-0.002204247242643372,-0.0008811714880953728,-0.0013230757545479991,-0.0025133945036349137,-0.0012661877407186273,-0.0012472067629162864,0.4099273607748184,0.017939232453355644,-0.01089154270723558,0.005882730157228733,-4.647799077113863,3.45165198583329e-06
sig_C,3d,4130,-0.0018006486650240109,1.3937841785955344e-05,-0.0018145865068099661,-0.002383367907514422,0.0,-0.002383367907514422,0.44842615012106535,0.03367911677281502,-0.01766650451916918,0.013500657510227776,-3.3884574905292206,0.0007089048142181856
sig_C,5d,4130,-0.001308025805396019,0.0009347124171481092,-0.0022427382225441283,-0.0012089173807686704,0.0010604358571963957,-0.002269353237965066,0.48184019370460046,0.050176275136367646,-0.022203883649157874,0.019705473372487792,-2.823765617430466,0.0047675483113985015
sig_C,10d,4129,-0.00043246693686396434,0.003162739938769034,-0.0035952068756329985,0.0001940366082402445,0.0037174721189590088,-0.0035234355107187643,0.5023007992249939,0.06821519474799048,-0.03141855978581842,0.030307491004252674,-3.3239394639505564,0.0008947357642304779
sig_C,20d,4116,0.004708482679354214,0.007724980634779326,-0.0030164979554251114,0.004897141166188113,0.008803301237964245,-0.0039061600717761324,0.5303692905733722,0.09824753177564956,-0.03926386502658502,0.05151567799730655,-1.9338195662324404,0.05319894598057243
sig_D,1d,3103,-0.0026073356993643023,-0.0008811714880953728,-0.0017261642112689295,-0.0026731661294127074,-0.0012661877407186273,-0.00140697838869408,0.4050918466000645,0.019017283191431988,-0.01170271695341013,0.005873817160113259,-4.989985178808255,6.353695862738818e-07
sig_D,3d,3103,-0.00209683839815644,1.3937841785955344e-05,-0.0021107762399423954,-0.0025530660377357517,0.0,-0.0025530660377357517,0.44795359329680956,0.035358381071663905,-0.018267317452027976,0.013896503567961682,-3.276393955683686,0.0010623235247122166
sig_D,5d,3103,-0.0009040634123458311,0.0009347124171481092,-0.0018387758294939403,-0.0011011699931176011,0.0010604358571963957,-0.0021616058503139968,0.4840476957782791,0.04973191447165485,-0.022711309645500277,0.020178486229847192,-2.032740000772229,0.04215945102807102
sig_D,10d,3102,0.0001323596195083515,0.003162739938769034,-0.0030303803192606826,7.94598965930815e-05,0.0037174721189590088,-0.0036380122223659273,0.5003223726627982,0.06900290422343013,-0.031968396651877284,0.0313067499399472,-2.412488367347712,0.015898636963584054
sig_D,20d,3095,0.007171240761514417,0.007724980634779326,-0.0005537398732649084,0.005369470723600056,0.008803301237964245,-0.003433830514364189,0.5353796445880452,0.09704452998679414,-0.038244213252163706,0.052739249682125955,-0.31294725997380474,0.7543406544878254
