Year,Count,Mean 5d,Med 5d,Hit
2016,435,-0.008204682359517332,-0.0016167143390126704,0.4528735632183908
2017,557,-0.0070881649091810136,-0.0034687500000000204,0.44703770197486536
2018,397,-0.007755039988011559,-0.004973424449506436,0.4256926952141058
2019,396,-0.006077483669582108,-0.005098622912939721,0.43686868686868685
2020,636,0.0054143301632120664,0.002052523704265452,0.5235849056603774
2021,664,0.00619098662630966,0.0024278619528620426,0.5225903614457831
2022,499,-0.005930567535058817,-0.003364171572750152,0.4649298597194389
2023,722,0.0007231772330385188,7.696479579188953e-05,0.5041551246537396
2024,595,-0.004313319288712368,-0.0017605633802817433,0.4756302521008403
