drawdown_band,N_base,N_sig,base_ret,sig_ret
<-10%,10,6,-0.015651893170926523,-0.07132336997762607
-10% to -5%,23,8,0.0028351611517728613,-0.04643823743257283
-5% to 0%,844,33,0.0028507471528451244,-0.0010949909467264526
>0%,1285,6,0.0009465127583728276,-0.006506720334735372
