Signal,Horizon,Count,Sig_Mean,Base_Mean,Diff,Hit_Rate,P_Val
sig_A,1,6645,0.0010420609589385154,0.0004712187906257455,0.00057084216831277,0.49435665914221216,0.036967443930579
sig_A,3,6642,0.0017315676817341006,0.0013855158283513172,0.0003460518533827835,0.50903342366757,0.47327148942467057
sig_A,5,6638,0.002990232519960866,0.0022986006020442973,0.0006916319179165686,0.5162699608315757,0.27525880178566253
sig_A,10,6618,0.004905713131272671,0.004537135946929123,0.0003685771843435475,0.5392867935932306,0.672620851043152
sig_A,20,6529,0.007677768099088025,0.009146367851925064,-0.0014685997528370394,0.5598100781130342,0.26097511315990685
sig_B,1,1671,0.0007572100218886091,0.0004712187906257455,0.0002859912312628636,0.49730700179533216,0.4622020305587967
sig_B,3,1671,0.0007999269482032617,0.0013855158283513172,-0.0005855888801480554,0.5362058647516457,0.46282017127270675
sig_B,5,1671,0.0024117297145417518,0.0022986006020442973,0.0001131291124974545,0.5368043087971275,0.9130076640428368
sig_B,10,1670,0.0026730257270133192,0.004537135946929123,-0.0018641102199158039,0.5401197604790419,0.23389479434654878
sig_B,20,1646,0.003158540375147838,0.009146367851925064,-0.0059878274767772265,0.5467800729040098,0.01021892091677642
sig_C,1,1513,0.0003852646197658849,0.0004712187906257455,-8.595417085986061e-05,0.4910773298083278,0.8281887066782708
sig_C,3,1513,-0.0003593871690334389,0.0013855158283513172,-0.001744902997384756,0.5254461335095836,0.034716092771407185
sig_C,5,1513,0.0009294691956318704,0.0022986006020442973,-0.0013691314064124267,0.5287508261731659,0.19954365488365755
sig_C,10,1512,-0.0003194548369965832,0.004537135946929123,-0.0048565907839257065,0.5264550264550265,0.002591973772238127
sig_C,20,1488,-0.0004788996193244335,0.009146367851925064,-0.009625267471249498,0.5383064516129032,9.093081153713209e-05
sig_D,1,55,0.0014489869645161293,0.0004712187906257455,0.0009777681738903838,0.45454545454545453,0.7196928001372963
sig_D,3,55,-0.00014289923961222136,0.0013855158283513172,-0.0015284150679635384,0.41818181818181815,0.6707301239425538
sig_D,5,55,0.003427413459478053,0.0022986006020442973,0.0011288128574337558,0.43636363636363634,0.7875694183483672
sig_D,10,55,-0.003429504513134469,0.004537135946929123,-0.007966640460063592,0.43636363636363634,0.16983638765323072
sig_D,20,54,0.0025413396490534864,0.009146367851925064,-0.006605028202871578,0.48148148148148145,0.5087815299583675
