Year,Count,Mean_5d,Hit_Rate
2017,15,0.012475926735546317,0.4666666666666667
2018,5,-0.001351038548858563,0.4
2019,7,0.00886773333226863,0.42857142857142855
2020,2,0.005955113890065422,0.5
2021,7,-0.007601519306907889,0.2857142857142857
2022,2,0.0003475123632943333,0.5
2023,6,-0.01405136634622702,0.3333333333333333
2024,11,0.006451225397773491,0.5454545454545454
